Sno,Customer_code,date,doneorno,Name,Type,Supply_Price,status,Acquired_by,Location,Contact_Person,Contact_number,Adress,Pincode,Geo tag
151,,5th Mar,,Anjulaxmi Rice Shop,Rice Shop,14.3,LIVE,Sankar,Choolaimedu,,,,,
152,,5th Mar,,RV Stores,,14.3,LIVE,Sankar,Choolaimedu,,,,,
153,,5th Mar,,Joseph Petty Shop,Petty Shop,15,LIVE,Sankar,Choolaimedu,,,,,
154,,6th Mar,,F.N.F.Store & Cool Bar,Petty shop & Snacks,14,LIVE,Karthick,Annanagar East,,,,,
155,,6th Mar,,Kani Store,Petty shop & Snacks,14.3,LIVE,Sankar,Shenoy Nagar,,,"No:33/71, Harrington Road, Shenoy Nagar, Chennai - 600030.",,
156,,6th Mar,,Saravana Fancy,Fancy shop,14.3,Not Live,Shankar,Arumbakkam,,,"New No: 747/1, (Old No: 407/1, P.H.Road. Opp- Anna Arch), Arumbakkam, Chennai - 600106.",,
157,,7th Mar,,Hotel Sri Krishna Bhavan,Petty shop & Snacks,14.3,Not Live,Sathish,Kilpauk,,,"No:23/56, New Avadi Road, Kilpauk, Chennai - 600010.",,
158,,8th Mar,,Veera Vegetables & Fruits Shop,Veg & Fruits,14.3,Not Live,Shankar,Choolaimedu,,9940499626,,,
159,,9th Mar,,G.V.Cool Drink Shop,Juices & Snacks,14.3,Not Live,Shankar,Purasaiwakkam,,9840628382,"No:198.B, Purasaiwakkam, Chennai - 600010.",,
160,,9th Mar,,Ponnu News Mart,Petty shop & Snacks,15,Not Live,Shankar,Ayanavaram,,,,,
161,,10th Mar,,Avin Palagam,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
162,,10th Mar,,Chinnapillai Amman Store,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
163,,10th Mar,,Snacks City,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,,,
164,,10th Mar,,Gowtham Stores,Petty shop & Snacks,15,Not Live,Shankar,Villivakkam,,,,,
165,,10th Mar,,S.S.Avin Palagam,Petty shop & Snacks,15,Not Live,Shankar,Villivakkam,,,,,
166,,10th Mar,,Komathi Cool Bar,Petty shop & Snacks,14.3,Not Live,Shankar,Perambur,,,,,
167,,11th Mar,,Vigneshwara News Mart,Petty shop & Snacks,14.3,Not Live,Shankar,ICF,,,,,
168,,11th Mar,,Adhavan Super Market,super market,15,Not Live,Shankar,Ayanavaram,,,,,
169,,11th Mar,,Saleem News Mart,Petty shop & Snacks,15,Not Live,Shankar,Ayanavaram,,,,,
170,,11th Mar,,Sai Kripa,Petty shop & Snacks,15,Not Live,Shankar,Ayanavaram,,,,,
171,,11th Mar,,Crown Bakery,Petty shop & Snacks,14.3,LIVE,Shankar,Ayanavaram,,, enterprises,,
172,,11th Mar,,Premkumar tea stall,tea shop,,,,Purasaiwakkam,,,,,
173,,11th Mar,,Anand Medicals,Petty shop & Snacks,15,LIVE,Shankar,Purasaiwakkam,,,"No: 2/62, Venkatesa Bathan Street, Purasaiwakkam. Chennai - 600007.",,
174,,13th Mar,,Dreams Tea Stall,Petty shop & Snacks,14.3,Not Live,Shankar,Villivakkam,,,Opp. Sri Krishna Sweets,,
175,,15th Mar,,National Catering Service,Petty shop & Snacks,14.3,LIVE,Sathish,Perambur,,,,,
176,,15th Mar,,Raja Maligai Store,Petty shop & Snacks,14.3,Not Live,Shankar,Padi,,9941270622,"No:55, Pattamman Koil Street, Padi, Chennai - 600050.",,
177,,15th Mar,,Ocean Super Market,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,,,
178,,15th Mar,,Vetrivel Stores,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,,,
179,,15th Mar,,AL Sheriff Store,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,"Old No:53, New No:49, Gandhi Main Road, T.V.Nagar, Thirumangalam, Chennai - 600040.",,
180,,15th Mar,,M.K. Foods,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,,,
181,,15th Mar,,New Star Shop,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,,,
182,,15th Mar,,Thirupathi Store,Petty shop & Snacks,14.3,Not Live,Shankar,Thirumangalam,,,,,
183,,15th Mar,,Priyatharshini Store,Ganesh Store,14.3,Not Live,Shankar,Thirumangalam,,,,,
184,,15th Mar,,Taj Cool Bar,Amman Store,14.3,LIVE,Shankar,Padi,,,,,
185,,15th Mar,,Hot & Chill Shop,Petty shop & Snacks,14.3,Not Live,Shankar,Padi,,,,,
186,,15th Mar,,Nandhini Stores,Petty shop & Snacks,14.3,Not Live,Shankar,Padi,,,,,
187,,16th Mar,,Anna University Gurunath Store,Institution,13,Not Live,OMR-DIST,Kotturpuram,,,,,
188,,16th Mar,,Honasty Cool Bar,Petty shop & Snacks,13,Not Live,OMR-DIST,Velacherry,,,Gurunanak College,,
189,,16th Mar,,Kirishna,Petty shop & Snacks,13,Not Live,OMR-DIST,Udipi Hotel,,,,,
190,,16th Mar,,M.K.Papermart,Petty shop & Snacks,13,Not Live,OMR-DIST,Velachery,,,,,
191,,16th Mar,,M.R.Papermart,Petty shop & Snacks,13,Not Live,OMR-DIST,Velachery,,,Baby Nagar,,
192,,16th Mar,,Hi Look Tea Shop,Petty shop & Snacks,13,Not Live,OMR-DIST,Pallikaranai,,,,,
193,,16th Mar,,Balaji Dental College Canteen,Institution,13,Not Live,OMR-DIST,Pallikaranai,,,,,
194,,16th Mar,,Juice World,Petty shop & Snacks,13,Not Live,OMR-DIST,Pallikaranai,,,,,
195,,16th Mar,,Pandian Tea Shop,Petty shop & Snacks,13,Not Live,OMR-DIST,Tharamani,,,,,
196,,16th Mar,,My Bakes,Petty shop & Snacks,13,Not Live,OMR-DIST,Tharamani,,,IIT Gate,,
197,,16th Mar,,SRP Cool Bar,Petty shop & Snacks,13,Not Live,OMR-DIST,Thiruvanmiyur,,,Opp Holiday Hotel,,
198,,16th Mar,,Jayam Tea Shop,Petty shop & Snacks,13,LIVE,OMR-DIST,Thiruvanmiyur,,,,,
199,,16th Mar,,Jayanthi Papermart,Petty shop & Snacks,13,Not Live,OMR-DIST,Thiruvanmiyur,,,,,
200,,16th Mar,,Time Pass Tea Shop,Petty shop & Snacks,13,LIVE,OMR-DIST,Thiruvanmiyur,,,,,
201,,16th Mar,,Thangam Store,Petty shop & Snacks,13,Not Live,OMR-DIST,Thiruvanmiyur,,,,,
202,,16th Mar,,Alzahara Cool Bar,Petty shop & Snacks,13,Not Live,OMR-DIST,OMR,,,,,
203,,16th Mar,,Juice Point ,Petty shop & Snacks,13,Not Live,OMR-DIST,OMR,,,Opp. Apollo Hospital,,
204,,16th Mar,,OMR Cool Bar,Petty shop & Snacks,13,Not Live,OMR-DIST,OMR,,,Perungudi Near Toll Gate,,
205,,16th Mar,,Chennai Bakery,Petty shop & Snacks,13,Not Live,OMR-DIST,Kandhanchavadi,,,MGR Salai,,
206,,16th Mar,,SAS Snacks,Petty shop & Snacks,13,Not Live,OMR-DIST,Perungudi,,,MGR Salai,,
207,,17th Mar,,Chennai Cakes Spot,Petty Shop & Snacks,14,LIVE,Shankar,Ayanavaram,,,,,
208,,18th Mar,,Periya Swami Store,Petty Shop & Snacks,14.3,LIVE,Shankar,Teynampet,,,"No:252, Anna Salai, Teynampet, D.M.S, Chennai",,
209,,18th Mar,,Team Talk Cool Bar,Cool Bar,14.3,LIVE,Shankar,,,,Near Kauvery Hospital,,
210,,18th Mar,,Lotus Residency,Hotel,,Not Live,Shankar,Annanagar,,,,,
211,,18th Mar,,Dairy Delight,Petty Shop & Snacks,15,LIVE,Shankar,Annanagar,,,,,
212,,18th Mar,,Pride Pharmacy,Petty Shop & Snacks,14.5,LIVE,Shankar,Annanagar,,,,,
213,,18th Mar,,Annai General Store,Petty Shop & Snacks,15,Not Live,Shankar,Mogappair East,,7667558555,"No:3/469, Valayapathi Salai, Mogappair East, Chennai - 600037.",,
214,,18th Mar,,Sanjana Sweets & Snacks,Petty Shop & Snacks,15,LIVE,Shankar,Annanagar,,,,,
215,,18th Mar,,Chellammal Store,Petty Shop & Snacks,15,Not Live,Shankar,Annanagar West,,9043862295,"No:46/23, 4th Street, Annanagar West, Chennai - 600101.",,
216,,19th Mar,,Shimmi Cool Bar,Petty Shop & Snacks,15,LIVE,Shankar,Egmore,,,,,
217,,19th Mar,,Hotel Baby Cafe,Petty Shop & Snacks,14.3,LIVE,Shankar,Egmore,,,,,
218,,19th Mar,,D. Ravivarma News Mart,Petty Shop & Snacks,14.3,LIVE,Shankar,Adyar,,9841614441,1st Main Road,,
219,,19th Mar,,Saravana Vegitarian Hotel,Hotel,15,LIVE,Shankar,Green ways,,,R.A.Puram,,
220,,19th Mar,,Om Snacks Shop,Petty Shop & Snacks,14.5,Not Live,Shankar,Mylapore,,,Rama Krishna Mutt Road,,
221,,19th Mar,,Sri Mani News Mart,Petty Shop & Snacks,15,LIVE,Shankar,Mandaveli,,,,,
222,,19th Mar,,Sri Mani Store,Petty Shop & Snacks,14.3,LIVE,Shankar,Mylapore,,,Kacheri Road,,
223,,20th Mar,,SG Cafe,Petty Shop & Snacks,14.5,LIVE,Shankar,Padi,,,,,
224,,22nd Mar,,Jyothi Bakery,Petty Shop & Snacks,15,LIVE,Sathish,Egmore,,,"No:29, Egmore High Road, Chennai - 600008.",,
225,,22nd Mar,,Alankar Top Star,Petty Shop & Snacks,13,Not Live,Sathish,Vepery,,,,,
226,,22nd Mar,,Relax Cool Bar,Petty Shop & Snacks,14.3,LIVE,Shankar,Annanagar East,,,,,
227,,23rd Mar,,Solai Sweets,Petty Shop & Snacks,15,LIVE,Shankar,,,,,,
228,,30th march,,New  sastha tea stall,tea stall,,live,Sathish,Arumbakkam,,,"no.398/1,P.H Road,Arumbakkam,Chennai-106",,
229,,1st April,,Bombay Canteen,canteen,14.3,live,sathish,Nungambakka m,,,,,
230,,9th April,,Deepa stationary  and cool bar,stationary shop,14.5,live,sathish,Annanagar west,,,,,
231,,9th April,,Ashik fancy store,Fancy store,15,live,sathish,Royapettah,,,,,
232,,9th April,,Galaxy Cool Bar,Cool Bar,15,live,sathish,Royapettah,,,,,
233,,9th April,,Sri Durga Palace,,15,live,sathish,G.Proad,,,,,
234,,9th April,,Carnival fresh juice,Juice shop,15,live,sathish,Mount road,,,,,
235,,9th April,,Ezhumalaiyan Cool Bar,cool bar,15,live,sathish,Adayar,,,,,
236,,9th April,,Srivaari Enterprise,enterprise,15,live,sathish,Royapettah,,,,,
237,,9th April,,Yaarab Water supply,Water supply,15,live,sathish,Royapettah,,,,,
238,,9th April,,Mowl Bakery,Bakery,15,live,sathish,Triplicane,,,,,
239,,9th April,,Shijil Tea SHop,Tea shop,14.3,live,sathish,TTk road,,,,,
240,,9th April,,Damodaran news Mart,News mart,15,live,sathish,Royapettah,,,,,
241,,9th April,,Theyilai shop,Tea shop,15,live,sathish,Mylapore,,,,,
242,,9th April,,Binu Tea stall,Tea shop,14.5,live,sathish,Erukkencheri,,,,,
243,,9th April,,Tasty snacks,Tea shop,15,live,sathish,Royapettah,,,,,
244,,9th April,,Tamizhagam Tea stall,Tea shop,14,live,sathish,Egmore,,,,,
245,,10 April,,BIsmi  centre,Snacks  and cool bar,15,live,sathish,NUngambakkam,,,,,
246,,12 Apr,,Logammal tea stall,tea stall,15,live,sathish,RK mutt road,,,,,
247,,12Apr,,Vani News mart,news mart,15,live,sathish,Adayar,,,,,
248,,12 Apr,,Sree Srinivasa Iyengars Bakery,bakery,15,live,sathish,Thiruvanmiyur,,,,,
249,,12 Apr,,Corner shop,,15,live,sathish,"LB road ,thiruvanmiyur",,,,,
250,,12 Apr,,Amirtham cool drinks,cool bar,15,live,sathish,Mandaveli,,,,,
251,,16-Apr,,Antony stores,stores,15,live,sathish,mandaveli,,,,,
252,,19-Apr,,Rex hot and cool,cool bar,15,live,sathish,royapettah,,,,,
253,,19-Apr,,Sai cool bar,cool bar,15,live,sathish,royapettah,,,,,
254,,19-Apr,,Ashik fancy store,fancy store,15,live,sathish,royapettah,,,,,
255,,19-Apr,,Akshaya bakery,bakery,15,live,sathish,royapettah,,,,,
256,,12 Apr,,Logammal tea stall,tea stall,15,live,sathish,RK mutt road,,,,,
257,,12 Apr,,Dhamodaran News mart,news mart,15,live,sathish,Royapettah,,,,,
258,,12Apr,,Vani News mart,news mart,15,live,sathish,Adayar,,,,,
259,,12 Apr,,Nehru News Mart,News mart,15,live,sathish,Mylapore,,,,,
260,,12 Apr,,ANbu cool bar,Stationary shop,15,live,sathish,royapettah,,,,,
261,,16-Apr,,Mani cool bar,cool bar,15,live,sathish,Arumbakkam,,,,,
262,,16-Apr,,JR biscuit stall,biscuit stall,15,live,sathish,THiruvanmiyur,,,,,
263,,16-Apr,,Antony stores,stores,15,live,sathish,mandaveli,,,,,
264,,16-Apr,,Srivaari Enterprises,enterprise,15,live,sathish,Mylapore,,,,,
265,,16-Apr,,Pavithra cool bar,cool bar,15,live,sathish,royapettah,,,,,
266,,16-Apr,,Farida cool bar,cool bar,15,live,sathish,Annasalai,,,,,
267,,19-Apr,,Rex hot and cool,cool bar,15,live,sathish,royapettah,,,,,
268,,6-Jul,,Sriram Wate r Supply,water  supply,15,live,sathish,Annanagar east,,,,,
269,,6-Jul,,Djai Shopping zone,,15,live,sathish,Shenoy nagar,,,,,
270,,6-Jul,,Master Oru Tea,Tea shop,15,live,sathish,Perambur,,,,,
271,,6-Jul,,KK Hot chips,Chips,15,live,sathish,Ayanavaram,,,,,
272,,6-Jul,,Rasi tea shop,Tea shop,15,live,Danraj,Mylapore,,,,,
273,,6-Jul,,JAS Bakery,bakery,15,live,sathish,Ayanavaram,,,,,
274,,17-July,,Sri Lakshmi Bakery,Bakery,15,live,Sathish,Arumbakkam,,,,,
275,,17-July,,SRA Agencies,Agency,15,live,Afsal,Arumbakkam,,,,,
276,,17-July,,SAravana  Fancy Store,Fancy store,15,live,Sathish,Arumbakkam,,,,,
277,,17-July,,Samaavar Cafe,coffee shop,15,live,Afsal,Annanagar,,,,,
278,,17-July,,Chandra Provision store,Provision Store,15,live,Sathish,Arumbakkam,,,,,
279,,17-July,,New sastha Tea stall,Tea stall,15,live,Afsal,Annanagar,,,,,
280,,17-July,,Om Murugan Store,Provision Store,15,live,Sathish,Shenoy Nagar,,,,,
281,,17-July,,Ganesh Store,Mobile shop,15,Live,Afsal,Shenoy Nagar,,,,,
282,,17-July,,Arun snacks,Snacks  bar,15,Live,Afsal,Annanagar,,,,,
283,,21-July,,Relax corner,TEa shop,15,Live,Afsal,Arumbakkam,,,,,
284,,21-July,,Woodlands enterprises,,15,Live,Danraj,Mylapore,,,,,
285,,21-July,,Taste me,Tea shop,15,Live,Afsal,Arumbakkam,,,,,
286,,21-July,,Rasika sweets And bakery,Bakery,15,Live,Sathish,Ayanavaram,,,,,
287,,21-July,,KRJ news Mart,News mart,15,Live,Danraj,Valluvar Kottam,,,,,
288,,21-July,,Kumaran Cool Bar,cool Bar,15,live,Sathish,Arumbakkam,,,,,
289,,21-July,,Sri Lakshmi Bakery,Bakery,15,live,Sathish,MMDA colony,,,,,
290,,29-July,,Bake Point,bakery,15,live,Sathish,Shenoy Nagar,,,,,
291,,30-July,,DInesh Snacks,Tea shop,15,live,Sathish,Shenoy Nagar,,,,,
292,,30-July,,Megha Hotel(Sample),Hotel,15,live,Sathish,Aminjikarai,,,,,
293,,30-July,,Falcon Cafe,Tea shop,15,live,Sathish,Maduravoyal,,,,,
294,,30-July,,Royal Tea stall,Tea Shop,15,live,Sathish,Maduravoyal,,,,,
295,,30-July,,Orange Juice Corner,JUice shop,15,live,Sathish,Koyambedu,,,,,
296,,30-July,,Biriyani Vilas,Biriyani shop,15,live,Sathish,Koyambedu,,,,,
297,,30-July,,SBS Riyadhi Biriyaani,Biriyani shop,15,live,Sathish,Arumbakkam,,,,,
298,,30-July,,Akshaya cool,Cool bar,15,live,Sathish,Koyambedu,,,,,
299,,30-July,,SAR Tea Corner,Tea Shop,15,live,Sathish,Koyambedu,,,,,
300,,30-July,,Chill and Thrill,Tea Shop,15,live,Afsal,Arumbakkam,,,,,
301,,2nd August,,Royal Tea stall,Tea Shop,15,live,Sathish,Maduravoyal,,,,,
302,,2nd August,,Selvam Sweets and Snacks,Bakery,15,live,Sathish,Maduravoyal,,,,,
303,,2nd August,,Welcome TEa stall,Tea shop,15,live,Sathish,Maduravoyal,,,,,
304,,2nd August,,BHarathi sweets And Bakery,Tea shop,15,live,Sathish,Maduravoyal,,,,,
305,,2nd August,,HOT puffs and chips,Bakery,15,live,Sathish,Maduravoyal,,,,,
306,,2nd August,,Aruna cool Bar,Cool bar,15,live,Sathish,Koyambedu,,,,,
307,,2nd August,,Ashok Cool bar,cool bar,15,live,Sathish,Koyambedu,,,,,
308,,3rd August,,Iyengar Bakery,Bakery,15,live,Sathish,Koyambedu,,,,,
309,,3rd August,,Sujis Snacks,Tea shop,15,live,Sathish,kilpauk,,,,,
310,,3rd August,,Vembu Bhavan,Hotel,15,live,Sathish,Koyambedu,,,,,
311,,3rd August,,THirumalai sweets,Bakery,15,live,Sathish,Maduravayol,,,,,
312,,6th Aug,,Ambur Biriyani,Biriyani shop,15,live,selvem,Maduravayol,,,,,
313,,8th Aug,,Venkateshwara Bakery,Bakery,15,live,Sathish,Maduravayol,,,,,
314,,12th August,,Anbu BAkery and Hot chips,Bakery,15,live,Sathish,chinmaya nagar,,,,,
315,,12th August,,Aavin Milk Shop,MIlk Shop,15,live,Azhagu,royapettah,,,,,
316,,12th August,,City Bakery,Bakery,15,live,Sathish,Arumbakkam,,,,,
317,,12th August,,Ila cool bar,cool bar,15,live,Sathish,Koyambedu,,,,,
318,,14-August,Golden News Mart,Golden News Mart,News mart,15,live,Sathish,Arumbakkam,,,,,
319,,14-August,Murugan Cool Bar,Murugan Cool Bar,cool bar,15,live,Sathish,Arumbakkam,,,,,
320,,14-August,,New Raja Stores,,15,live,Sathish,Arumbakkam,,,,,
321,,14-August,,Hotel Sri Krishna,hotel,15,live,Sathish,chinmaya nagar,,,,,
322,,14-August,,BaLaji Cafe,coffee shop,15,live,Sathish,PVR,,,,,
323,,14-August,,Raja Tea And Tiffin,Tiffin Centre,15,live,Sathish,PVR,,,,,
324,,14-August,,Sri Balaji Bakery and Sweets,Bakery,15,live,Sathish,Maduravayol,,,,,
325,,14-August,,Chithra Tea stall,Tea shop,s,live,Sathish,Arumbakkam,,,,,
326,,14-August,,Sanjay Cool Bar,cool drinks shop,15,live,Sathish,Arumbakkam,,,,,
327,,18-August,,Murugan Agency,Agency,15,live,selvam,Mogappair,,,,,
328,,13th september,,Madarasa Kulambi,,15,live,Tsathish,Annanagarwest,,,,,
329,,13th september,,Rathamal Cool bar,cool Bar,15,live,Tsathish,Annanagar,,,,,
,,,,Tea Town,,,live,,Maduravoyal,,,,,
,,,,G.R.Tea Stall,,,,,Koyambedu,,,,,
,,,,Devar News Mart,,,,,Purasaiwalkam,,,,,
,,,,Sastha Tea Stall,,,,,Purasaiwalkam,,,,,